id,name,bpm,nps
978,AllMapsGroupedV1,385.0,102.0
240,AllMapsGroupedV1,99.0,103.0
679,AllMapsGroupedV1,184.0,105.0
258,AllMapsGroupedV1,100.0,106.0
595,AllMapsGroupedV1,168.0,106.0
533,AllMapsGroupedV1,150.0,108.0
851,AllMapsGroupedV1,240.0,108.0
983,AllMapsGroupedV1,400.0,108.0
259,AllMapsGroupedV1,100.0,109.0
922,AllMapsGroupedV1,300.0,109.0
1002,AllMapsGroupedV1,522.0,109.0
370,AllMapsGroupedV1,120.0,112.0
353,AllMapsGroupedV1,118.0,116.0
916,AllMapsGroupedV1,297.0,126.0
924,AllMapsGroupedV1,300.0,127.0
908,AllMapsGroupedV1,280.0,130.0
263,AllMapsGroupedV1,100.0,133.0
264,AllMapsGroupedV1,100.0,134.0
597,AllMapsGroupedV1,169.0,135.0
852,AllMapsGroupedV1,240.0,137.0
265,AllMapsGroupedV1,100.0,139.0
1001,AllMapsGroupedV1,512.0,140.0
853,AllMapsGroupedV1,240.0,150.0
1006,AllMapsGroupedV1,750.0,153.0
741,AllMapsGroupedV1,200.0,155.0
581,AllMapsGroupedV1,164.0,156.0
554,AllMapsGroupedV1,156.0,157.0
409,AllMapsGroupedV1,125.0,168.0
952,AllMapsGroupedV1,321.0,169.0
747,AllMapsGroupedV1,200.0,178.0
875,AllMapsGroupedV1,250.0,188.0
267,AllMapsGroupedV1,100.0,193.0
449,AllMapsGroupedV1,132.0,201.0
596,AllMapsGroupedV1,168.0,218.0
272,AllMapsGroupedV1,100.0,228.0
241,AllMapsGroupedV1,1000.0,236.0
997,AllMapsGroupedV1,500.0,260.0
876,AllMapsGroupedV1,250.0,267.0
418,AllMapsGroupedV1,127.0,272.0
378,AllMapsGroupedV1,120.0,337.0
588,AllMapsGroupedV1,165.0,348.0
692,AllMapsGroupedV1,188.0,380.0
931,AllMapsGroupedV1,300.0,385.0
1007,AllMapsGroupedV1,750.0,457.0
